Geo Point,Geo Shape,Name,descriptio,lon,lat,linea_esta
"19.3705202583,-99.1648166498","{""type"": ""Point"", ""coordinates"": [-99.16481664975214, 19.370520258329755]}",Zapata,Linea 12,-99.1648166497522,19.3705202583298,Linea 12-Zapata
"19.3614164661,-99.1516874947","{""type"": ""Point"", ""coordinates"": [-99.15168749465096, 19.361416466126617]}",Eje Central,Linea 12,-99.151687494651,19.3614164661266,Linea 12-Eje Central
"19.3575230891,-99.1214990292","{""type"": ""Point"", ""coordinates"": [-99.12149902924786, 19.357523089055956]}",Mexicaltzingo,Linea 12,-99.1214990292479,19.357523089056,Linea 12-Mexicaltzingo
"19.3377244141,-99.1090561035","{""type"": ""Point"", ""coordinates"": [-99.10905610350821, 19.337724414118117]}",Culhuacán,Linea 12,-99.1090561035082,19.3377244141181,Linea 12-Pueblo Culhuacácan
"19.3184873296,-99.0766395304","{""type"": ""Point"", ""coordinates"": [-99.07663953037091, 19.318487329649617]}",Periférico Oriente,Linea 12,-99.0766395303709,19.3184873296496,Linea 12-Periférico Oriente
"19.3067404089,-99.067064238","{""type"": ""Point"", ""coordinates"": [-99.06706423796209, 19.306740408932157]}",Tezonco,Linea 12,-99.0670642379621,19.3067404089322,Linea 12-San Lorenzo
"19.3038901565,-99.05805216","{""type"": ""Point"", ""coordinates"": [-99.05805216000712, 19.303890156451896]}",Olivos,Linea 12,-99.0580521600071,19.3038901564519,Linea 12-Olivos
"19.299001749,-99.0431616159","{""type"": ""Point"", ""coordinates"": [-99.0431616159317, 19.299001748961835]}",Nopalera,Linea 12,-99.0431616159317,19.2990017489618,Linea 12-Nopalera
"19.4271332532,-99.1103616129","{""type"": ""Point"", ""coordinates"": [-99.11036161293086, 19.427133253179964]}",Moctezuma,Linea 1,-99.1103616129309,19.42713325318,Linea 1-Moctezuma
"19.4302219578,-99.1142868671","{""type"": ""Point"", ""coordinates"": [-99.11428686711034, 19.430221957845355]}",San Lázaro,Linea 1,-99.1142868671104,19.4302219578454,Linea 1-San Lázaro
"19.4269202702,-99.1432083395","{""type"": ""Point"", ""coordinates"": [-99.14320833953673, 19.426920270231783]}",Salto del Agua,Linea 1,-99.1432083395367,19.4269202702318,Linea 1-Salto del Agua
"19.4235735877,-99.1630228711","{""type"": ""Point"", ""coordinates"": [-99.16302287109748, 19.423573587687173]}",Insurgentes,Linea 1,-99.1630228710975,19.4235735876872,Linea 1-Insurgentes
"19.421775731,-99.1707242768","{""type"": ""Point"", ""coordinates"": [-99.17072427681977, 19.421775731026965]}",Sevilla,Linea 1,-99.1707242768198,19.421775731027,Linea 1-Sevilla
"19.3982147213,-99.2003998677","{""type"": ""Point"", ""coordinates"": [-99.20039986772296, 19.398214721321626]}",Observatorio,Linea 1,-99.200399867723,19.3982147213216,Linea 1-Observatorio
"19.4594834227,-99.1888511051","{""type"": ""Point"", ""coordinates"": [-99.18885110506892, 19.459483422747745]}",Tacuba,Linea 2,-99.1888511050689,19.4594834227477,Linea 2-Tacuba
"19.4525951099,-99.1750800034","{""type"": ""Point"", ""coordinates"": [-99.17508000343334, 19.452595109905968]}",Popotla,Linea 2,-99.1750800034334,19.452595109906,Linea 2-Popotla
"19.4489838061,-99.1715980633","{""type"": ""Point"", ""coordinates"": [-99.17159806325188, 19.448983806137626]}",Colegio Militar,Linea 2,-99.1715980632519,19.4489838061376,Linea 2-Colegio Militar
"19.4420422015,-99.1610384028","{""type"": ""Point"", ""coordinates"": [-99.161038402766, 19.442042201502797]}",San Cosme,Linea 2,-99.161038402766,19.4420422015028,Linea 2-San Cosme
"19.4330189547,-99.1322965506","{""type"": ""Point"", ""coordinates"": [-99.13229655063641, 19.433018954729867]}",Zócalo,Linea 2,-99.1322965506364,19.4330189547299,Linea 2-Zócalo
"19.425825756,-99.1331228599","{""type"": ""Point"", ""coordinates"": [-99.13312285993551, 19.425825755995767]}",Pino Suárez,Linea 2,-99.1331228599355,19.4258257559958,Linea 2-Pino Suárez
"19.409032433,-99.1356717407","{""type"": ""Point"", ""coordinates"": [-99.13567174065331, 19.409032433008935]}",Chabacano,Linea 2,-99.1356717406533,19.4090324330089,Linea 2-Chabacano
"19.3618185402,-99.1429742999","{""type"": ""Point"", ""coordinates"": [-99.1429742999265, 19.361818540241533]}",Ermita,Linea 2,-99.1429742999265,19.3618185402415,Linea 2-Ermita
"19.3532586139,-99.1449881216","{""type"": ""Point"", ""coordinates"": [-99.14498812157491, 19.353258613938408]}",General Anaya,Linea 2,-99.1449881215749,19.3532586139384,Linea 2-General Anaya
"19.4686293297,-99.139012775","{""type"": ""Point"", ""coordinates"": [-99.13901277503159, 19.468629329666168]}",La Raza,Linea 3,-99.1390127750316,19.4686293296662,Linea 3-La Raza
"19.4446131162,-99.145201195","{""type"": ""Point"", ""coordinates"": [-99.14520119497732, 19.444613116178992]}",Guerrero,Linea 3,-99.1452011949773,19.444613116179,Linea 3-Guerrero
"19.4332619052,-99.1476786992","{""type"": ""Point"", ""coordinates"": [-99.14767869923176, 19.433261905204567]}",Juárez,Linea 3,-99.1476786992318,19.4332619052046,Linea 3-Juárez
"19.3954822792,-99.1560082582","{""type"": ""Point"", ""coordinates"": [-99.15600825817071, 19.395482279189448]}",Etiopía,Linea 3,-99.1560082581707,19.3954822791895,Linea 3-Etiopía
"19.3540509007,-99.1753961361","{""type"": ""Point"", ""coordinates"": [-99.17539613613872, 19.354050900730748]}",Viveros,Linea 3,-99.1753961361387,19.3540509007308,Linea 3-Viveros
"19.3361231843,-99.1765381663","{""type"": ""Point"", ""coordinates"": [-99.17653816626179, 19.33612318425268]}",Copilco,Linea 3,-99.1765381662618,19.3361231842527,Linea 3-Copilco
"19.4028723528,-99.1217049588","{""type"": ""Point"", ""coordinates"": [-99.12170495884145, 19.402872352768327]}",Santa Anita,Linea 4,-99.1217049588415,19.4028723527683,Linea 4-Santa Anita
"19.4395767912,-99.1181500371","{""type"": ""Point"", ""coordinates"": [-99.11815003710781, 19.439576791154906]}",Morelos,Linea 4,-99.1181500371078,19.4395767911549,Linea 4-Morelos
"19.4696491366,-99.1367932056","{""type"": ""Point"", ""coordinates"": [-99.13679320557837, 19.469649136553926]}",La Raza,Linea 5,-99.1367932055784,19.4696491365539,Linea 5-La Raza
"19.4632772474,-99.1307751872","{""type"": ""Point"", ""coordinates"": [-99.13077518718008, 19.463277247404267]}",Misterios,Linea 5,-99.1307751871801,19.4632772474043,Linea 5-Misterios
"19.4550242901,-99.1137327219","{""type"": ""Point"", ""coordinates"": [-99.1137327219019, 19.455024290066913]}",Consulado,Linea 5,-99.1137327219019,19.4550242900669,Linea 5-Consulado
"19.451339656,-99.1055814601","{""type"": ""Point"", ""coordinates"": [-99.10558146013122, 19.451339655977623]}",Eduardo Molina,Linea 5,-99.1055814601312,19.4513396559776,Linea 5-Eduardo Molina
"19.4453434833,-99.0872967981","{""type"": ""Point"", ""coordinates"": [-99.08729679809787, 19.445343483285136]}",Oceanía,Linea 5,-99.0872967980979,19.4453434832851,Linea 5-Oceanía
"19.4150169414,-99.0741564388","{""type"": ""Point"", ""coordinates"": [-99.07415643878358, 19.415016941366876]}",Pantitlán,Linea 5,-99.0741564387836,19.4150169413669,Linea 5-Pantitlán
"19.49074525,-99.1863838957","{""type"": ""Point"", ""coordinates"": [-99.1863838956626, 19.490745249975976]}",Azcapotzalco,Linea 6,-99.1863838956626,19.490745249976,Linea 6-Azcapotzalco
"19.4906463846,-99.1739577028","{""type"": ""Point"", ""coordinates"": [-99.17395770278016, 19.490646384643586]}",Ferrería,Linea 6,-99.1739577027802,19.4906463846436,Linea 6-Ferrería
"19.4789659527,-99.1901565147","{""type"": ""Point"", ""coordinates"": [-99.19015651466151, 19.478965952711587]}",Camarones,Linea 7,-99.1901565146615,19.4789659527116,Linea 7-Camarones
"19.4699024156,-99.1905771065","{""type"": ""Point"", ""coordinates"": [-99.1905771065316, 19.469902415574886]}",Refinería,Linea 7,-99.1905771065316,19.4699024155749,Linea 7-Refinería
"19.4593468814,-99.1887760295","{""type"": ""Point"", ""coordinates"": [-99.18877602950461, 19.459346881403135]}",Tacuba,Linea 7,-99.1887760295046,19.4593468814031,Linea 7-Tacuba
"19.4457858719,-99.1917402468","{""type"": ""Point"", ""coordinates"": [-99.19174024680207, 19.445785871914527]}",San Joaquín,Linea 7,-99.1917402468021,19.4457858719145,Linea 7-San Joaquín
"19.4334618752,-99.1910546888","{""type"": ""Point"", ""coordinates"": [-99.19105468876381, 19.433461875183138]}",Polanco,Linea 7,-99.1910546887638,19.4334618751831,Linea 7-Polanco
"19.3911042674,-99.1859710496","{""type"": ""Point"", ""coordinates"": [-99.18597104958951, 19.391104267436614]}",San Pedro los Pinos,Linea 7,-99.1859710495895,19.3911042674366,Linea 7-San Pedro de los Pinos
"19.4371710118,-99.1406381902","{""type"": ""Point"", ""coordinates"": [-99.14063819024932, 19.437171011833136]}",Bellas Artes,Linea 8,-99.1406381902493,19.4371710118331,Linea 8-Bellas Artes
"19.4311250315,-99.1415947121","{""type"": ""Point"", ""coordinates"": [-99.1415947121169, 19.431125031506546]}",San Juan Letrán,Linea 8,-99.1415947121169,19.4311250315066,Linea 8-San Juan de Letrán
"19.4046498081,-99.1210470062","{""type"": ""Point"", ""coordinates"": [-99.12104700615826, 19.404649808116407]}",Santa Anita,Linea 8,-99.1210470061583,19.4046498081164,Linea 8-Santa Anita
"19.3732140302,-99.1077261815","{""type"": ""Point"", ""coordinates"": [-99.10772618150602, 19.373214030189153]}",Aculco,Linea 8,-99.107726181506,19.3732140301892,Linea 8-Aculco
"19.3647901656,-99.1095064198","{""type"": ""Point"", ""coordinates"": [-99.10950641980764, 19.364790165589707]}",Escuadrón 201,Linea 8,-99.1095064198077,19.3647901655897,Linea 8-Escuadrón 201
